국적,목적,YearMonth,Headcount
미상,상용,2019-02-01,1
미상,공용,2019-02-01,0
미상,유학연수,2019-02-01,3
미상,기타,2019-02-01,11
전 체, ,2019-02-01,1201802
전 체, ,2019-02-01,0
아시아주,관광,2019-03-01,1071909
아시아주,상용,2019-03-01,11956
아시아주,공용,2019-03-01,2350
아시아주,유학연수,2019-03-01,42953
아시아주,기타,2019-03-01,146622
일  본,관광,2019-03-01,367157
일  본,상용,2019-03-01,2108
일  본,공용,2019-03-01,126
일  본,유학연수,2019-03-01,1231
일  본,기타,2019-03-01,4497
인  도,관광,2019-03-01,3051
인  도,상용,2019-03-01,3283
인  도,공용,2019-03-01,52
인  도,유학연수,2019-03-01,197
인  도,기타,2019-03-01,4063
베트남,관광,2019-03-01,32117
베트남,상용,2019-03-01,1047
베트남,공용,2019-03-01,186
베트남,유학연수,2019-03-01,5394
베트남,기타,2019-03-01,8247
미얀마,관광,2019-03-01,2026
미얀마,상용,2019-03-01,17
미얀마,공용,2019-03-01,52
미얀마,유학연수,2019-03-01,102
미얀마,기타,2019-03-01,4824
몽  골,관광,2019-03-01,6691
몽  골,상용,2019-03-01,119
몽  골,공용,2019-03-01,383
몽  골,유학연수,2019-03-01,967
몽  골,기타,2019-03-01,564
스리랑카,관광,2019-03-01,177
스리랑카,상용,2019-03-01,53
스리랑카,공용,2019-03-01,11
스리랑카,유학연수,2019-03-01,28
스리랑카,기타,2019-03-01,1225
파키스탄,관광,2019-03-01,285
