국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,상용,2023,1,1,겨울,0,217,15,4.0,18.0,13.0,10.0,10.75,15.384615384615383,0,2,1,20.202042215641523,26.27420252966179,20.412081036733586,22.2961085940123
그리스,상용,2023,2,1,겨울,0,218,3,15.0,11.0,7.0,7.333333333333333,10.416666666666666,-57.14285714285714,0,2,1,19.204015207224305,28.040207524548382,21.576703997129954,22.94030890963421
그리스,상용,2023,3,1,봄,0,219,8,3.0,4.0,8.0,8.666666666666666,10.416666666666666,0.0,0,2,2,18.356537652157904,26.026032318067855,15.300726576209186,19.894432182144982
그리스,상용,2023,4,2,봄,0,220,10,8.0,15.0,7.0,7.0,10.666666666666666,42.85714285714285,0,2,2,17.521395069823058,25.898670919584248,16.516153524263014,19.978739837890107
그리스,상용,2023,5,2,봄,0,221,11,10.0,3.0,15.0,9.666666666666666,10.333333333333334,-26.666666666666668,0,2,2,16.89737196087219,25.898670919584248,19.963533971315297,20.91985895059058
그리스,상용,2023,6,2,여름,0,222,8,11.0,8.0,2.0,9.666666666666666,10.833333333333334,300.0,0,2,3,17.01378930524463,25.992293969117895,17.24581888902193,20.083967387794818
그리스,상용,2023,7,3,여름,0,223,13,8.0,10.0,8.0,10.666666666666666,11.25,62.5,0,2,3,17.308293037671504,25.992293969117895,13.24126002662217,18.847282344470525
그리스,상용,2023,8,3,여름,0,224,23,13.0,11.0,20.0,14.666666666666666,11.5,15.0,0,2,3,19.896828811672076,30.294294327322667,30.76292216747956,26.984681768824768
그리스,상용,2023,9,3,가을,0,225,12,23.0,8.0,14.0,16.0,11.333333333333334,-14.285714285714285,0,2,0,19.956198752664026,27.586537536534237,28.095569265819005,25.21276851833909
그리스,상용,2023,10,4,가을,0,226,12,12.0,13.0,18.0,15.666666666666666,10.833333333333334,-33.33333333333333,0,2,0,19.411362392747264,27.83461942170706,20.168060557253696,22.471347457236007
그리스,상용,2023,11,4,가을,0,227,3,12.0,23.0,11.0,9.0,10.166666666666666,-72.72727272727273,0,2,0,18.736994616199038,27.399381731041608,16.485706764378367,20.874027703873
그리스,상용,2023,12,4,겨울,0,228,5,3.0,12.0,4.0,6.666666666666667,10.25,25.0,0,2,1,16.546027493584674,21.75406894742694,17.37891895024264,18.55967179708475
그리스,유학연수,2020,2,1,겨울,0,182,4,0.0,0.0,5.0,1.6666666666666667,1.6666666666666667,-20.0,0,3,1,5.173803962584207,8.542698136557666,4.709099675729365,6.1418672582904135
그리스,유학연수,2020,3,1,봄,1,183,5,4.0,1.0,1.0,3.0,2.0,400.0,0,3,2,2.259174226466155,5.340323640208573,1.1227689845925246,2.9074222837557513
그리스,유학연수,2020,8,3,여름,1,188,4,0.0,0.0,7.0,1.3333333333333333,1.3333333333333333,-42.85714285714285,0,3,3,5.34076222959586,10.331480571005303,6.4124591412023255,7.361567313934496
그리스,유학연수,2020,9,3,가을,1,189,1,4.0,0.0,2.0,1.6666666666666667,1.25,-50.0,0,3,0,2.317901952750228,5.434449256562085,1.6631809169325056,3.138510708748273
그리스,유학연수,2020,11,4,가을,1,191,2,0.0,4.0,0.0,1.0,1.4166666666666667,inf,0,3,0,2.2070616405506027,4.773529570879059,1.4007934912081121,2.793794900879258
그리스,유학연수,2021,2,1,겨울,1,194,4,0.0,2.0,4.0,1.3333333333333333,1.3333333333333333,0.0,0,3,1,5.173803962584207,8.542698136557666,4.709099675729365,6.1418672582904135
그리스,유학연수,2021,7,3,여름,1,199,1,0.0,0.0,0.0,0.3333333333333333,1.0,inf,0,3,3,2.2418439794451515,4.811730680865482,1.4326839077794413,2.8287528560300252
그리스,유학연수,2021,8,3,여름,1,200,7,1.0,0.0,4.0,2.6666666666666665,1.25,75.0,0,3,3,5.34076222959586,10.331480571005303,6.4124591412023255,7.361567313934496
그리스,유학연수,2021,9,3,가을,1,201,5,7.0,0.0,1.0,4.333333333333333,1.5833333333333333,400.0,0,3,0,2.317901952750228,5.434449256562085,1.6631809169325056,3.138510708748273
그리스,유학연수,2022,1,1,겨울,1,205,1,0.0,0.0,0.0,0.3333333333333333,1.5,inf,0,3,1,2.589712838984646,6.41255062600689,2.507610977840229,3.8366248142772554
그리스,유학연수,2022,2,1,겨울,1,206,6,1.0,0.0,4.0,2.333333333333333,1.6666666666666667,50.0,0,3,1,5.173803962584207,8.542698136557666,4.709099675729365,6.1418672582904135
그리스,유학연수,2022,3,1,봄,1,207,1,6.0,0.0,0.0,2.6666666666666665,1.75,inf,0,3,2,2.259174226466155,5.340323640208573,1.1227689845925246,2.9074222837557513
그리스,유학연수,2022,6,2,여름,1,210,2,0.0,1.0,0.0,0.6666666666666666,1.9166666666666667,inf,0,3,3,2.178036774787232,4.811730680865482,2.1998905565585027,3.063219337403739
그리스,유학연수,2022,7,3,여름,0,211,2,2.0,0.0,1.0,1.3333333333333333,2.0,100.0,0,3,3,2.2418439794451515,4.811730680865482,1.4326839077794413,2.8287528560300252
그리스,유학연수,2022,8,3,여름,0,212,20,2.0,0.0,7.0,8.0,3.083333333333333,185.7142857142857,0,3,3,5.34076222959586,10.331480571005303,6.4124591412023255,7.361567313934496
그리스,유학연수,2022,9,3,가을,0,213,1,20.0,2.0,5.0,7.666666666666667,2.75,-80.0,0,3,0,2.317901952750228,5.434449256562085,1.6631809169325056,3.138510708748273
